iso3,anio,share_local,fx_share
CHN,2024,0.994,0.006000000000000005
CHN,2025,0.994,0.006000000000000005
CIV,1989,0.558,0.44199999999999995
CIV,1990,0.527,0.473
CIV,1991,0.5349999999999999,0.4650000000000001
CIV,1992,0.483,0.517
CIV,1993,0.504,0.496
CIV,1994,0.475,0.525
CIV,1995,0.479,0.521
CIV,1996,0.519,0.481
CIV,1997,0.46199999999999997,0.538
CIV,1998,0.41300000000000003,0.587
CIV,1999,0.236,0.764
CIV,2000,0.18899999999999995,0.811
CIV,2001,0.21499999999999997,0.785
CIV,2002,0.243,0.757
CIV,2003,0.277,0.723
CIV,2004,0.22599999999999998,0.774
CIV,2005,0.239,0.761
CIV,2006,0.275,0.725
CIV,2007,0.28500000000000003,0.715
CIV,2008,0.352,0.648
CIV,2009,0.21999999999999997,0.78
CIV,2010,0.41200000000000003,0.588
CIV,2011,0.40900000000000003,0.591
CIV,2012,0.46799999999999997,0.532
CIV,2013,0.42900000000000005,0.571
CIV,2014,0.44999999999999996,0.55
CIV,2015,0.355,0.645
CIV,2016,0.42000000000000004,0.58
CIV,2017,0.499,0.501
CIV,2018,0.378,0.622
CIV,2019,0.358,0.642
CIV,2020,0.42100000000000004,0.579
CIV,2021,0.44199999999999995,0.558
CIV,2022,0.43200000000000005,0.568
