index,iso3,anio,variable,valor
489,BFA,2004,resultado_fiscal_weo,-4.194
490,BFA,2005,resultado_fiscal_weo,-4.89
491,BFA,2006,resultado_fiscal_weo,14.346
492,BFA,2007,resultado_fiscal_weo,-5.015
493,BFA,2008,resultado_fiscal_weo,-3.627
494,BFA,2009,resultado_fiscal_weo,-4.16
495,BFA,2010,resultado_fiscal_weo,-4.058
496,BFA,2011,resultado_fiscal_weo,-2.039
497,BFA,2012,resultado_fiscal_weo,-2.763
498,BFA,2013,resultado_fiscal_weo,-3.548
499,BFA,2014,resultado_fiscal_weo,-1.737
500,BFA,2015,resultado_fiscal_weo,-2.09
501,BFA,2016,resultado_fiscal_weo,-3.082
502,BFA,2017,resultado_fiscal_weo,-6.919
503,BFA,2018,resultado_fiscal_weo,-4.434
504,BFA,2019,resultado_fiscal_weo,-3.387
505,BFA,2020,resultado_fiscal_weo,-5.16
506,BFA,2021,resultado_fiscal_weo,-7.435
507,BFA,2022,resultado_fiscal_weo,-10.375
508,BFA,2023,resultado_fiscal_weo,-6.564
509,BFA,2024,resultado_fiscal_weo,-5.675
510,BFA,2025,resultado_fiscal_weo,-4.311
511,BFA,2026,resultado_fiscal_weo,-3.646
512,BGD,1995,resultado_fiscal_weo,-0.377
513,BGD,1996,resultado_fiscal_weo,-2.015
514,BGD,1997,resultado_fiscal_weo,-1.941
515,BGD,1998,resultado_fiscal_weo,-2.197
516,BGD,1999,resultado_fiscal_weo,-1.35
517,BGD,2000,resultado_fiscal_weo,-2.496
518,BGD,2001,resultado_fiscal_weo,-3.439
519,BGD,2002,resultado_fiscal_weo,-2.305
520,BGD,2003,resultado_fiscal_weo,-1.958
521,BGD,2004,resultado_fiscal_weo,-2.208
522,BGD,2005,resultado_fiscal_weo,-2.398
523,BGD,2006,resultado_fiscal_weo,-2.148
524,BGD,2007,resultado_fiscal_weo,-1.864
525,BGD,2008,resultado_fiscal_weo,-3.365
526,BGD,2009,resultado_fiscal_weo,-2.68
527,BGD,2010,resultado_fiscal_weo,-2.233
528,BGD,2011,resultado_fiscal_weo,-2.965
529,BGD,2012,resultado_fiscal_weo,-2.556
530,BGD,2013,resultado_fiscal_weo,-2.857
531,BGD,2014,resultado_fiscal_weo,-2.619
532,BGD,2015,resultado_fiscal_weo,-3.29
533,BGD,2016,resultado_fiscal_weo,-3.163
534,BGD,2017,resultado_fiscal_weo,-4.167
535,BGD,2018,resultado_fiscal_weo,-4.068
536,BGD,2019,resultado_fiscal_weo,-5.408
537,BGD,2020,resultado_fiscal_weo,-4.84
538,BGD,2021,resultado_fiscal_weo,-3.555
539,BGD,2022,resultado_fiscal_weo,-4.117
540,BGD,2023,resultado_fiscal_weo,-4.508
541,BGD,2024,resultado_fiscal_weo,-3.786
542,BGD,2025,resultado_fiscal_weo,-4.12
543,BGD,2026,resultado_fiscal_weo,-4.29
547,BGR,1998,resultado_fiscal_weo,1.084
548,BGR,1999,resultado_fiscal_weo,0.151
549,BGR,2000,resultado_fiscal_weo,-0.605
550,BGR,2001,resultado_fiscal_weo,-0.58
551,BGR,2002,resultado_fiscal_weo,-0.614
552,BGR,2003,resultado_fiscal_weo,0.003
553,BGR,2004,resultado_fiscal_weo,1.593
554,BGR,2005,resultado_fiscal_weo,2.187
555,BGR,2006,resultado_fiscal_weo,3.221
556,BGR,2007,resultado_fiscal_weo,3.086
557,BGR,2008,resultado_fiscal_weo,2.732
558,BGR,2009,resultado_fiscal_weo,-0.856
559,BGR,2010,resultado_fiscal_weo,-3.769
560,BGR,2011,resultado_fiscal_weo,-1.834
561,BGR,2012,resultado_fiscal_weo,-0.434
562,BGR,2013,resultado_fiscal_weo,-1.752
563,BGR,2014,resultado_fiscal_weo,-3.652
564,BGR,2015,resultado_fiscal_weo,-2.775
565,BGR,2016,resultado_fiscal_weo,1.54
566,BGR,2017,resultado_fiscal_weo,0.823
